"name","lat","long","nbBikes","nbEmptyDocks"
"Virginia Square Metro / N Monroe St & 9th St N","38.882788","-77.103148","6","12"
"Central Library / N Quincy St & 10th St N","38.88397","-77.10783","7","4"
"Washington Blvd & 10th St N","38.884734","-77.093485","11","3"
"Jefferson Dr & 14th St SW","38.888553","-77.032429","10","13"
"Smithsonian / Jefferson Dr & 12th St SW","38.888767","-77.02858","11","10"
"George Mason Dr & Wilson Blvd","38.87887","-77.1207","10","4"
"6th St & Indiana Ave NW","38.894573","-77.01994","11","7"
"N Veitch & Key Blvd","38.893241","-77.086045","5","6"
"N Adams St & Lee Hwy","38.89593","-77.089006","14","9"
"15th & N Scott St","38.89054","-77.08095","3","7"
"Washington Blvd & 7th St N","38.880834","-77.091129","7","4"
"Ballston Metro / N Stuart & 9th St N","38.881044","-77.111768","4","15"
"N Randolph St & Fairfax Dr","38.882629","-77.109366","9","2"
"Jefferson Memorial","38.879819","-77.037413","8","15"
"Good Hope Rd & 14th St SE","38.866611","-76.985238","10","5"
"Glebe Rd & 11th St N","38.883921","-77.116817","7","4"
"N Quincy St & Wilson Blvd","38.880151","-77.107673","4","5"
"Fairfax Dr & Kenmore St","38.884616","-77.10108","2","9"
"Gallaudet / 8th St & Florida Ave NE","38.90509","-76.9941","5","14"
"20th & L St NW","38.903584","-77.044789","18","1"
"12th & L St NW","38.903819","-77.0284","5","14"
"21st St & Pennsylvania Ave NW","38.901539","-77.046564","11","6"
"19th & K St NW","38.902204","-77.04337","18","4"
"Prince St & Union St","38.803124","-77.040363","7","12"
"Market Square / King St & Royal St","38.804718","-77.043363","4","10"
"Saint Asaph St & Pendleton  St","38.810743","-77.044664","6","8"
"King St & Patrick St","38.805317","-77.049883","6","8"
"15th & K St NW","38.902","-77.03353","25","2"
"Commerce St & Fayette St","38.805648","-77.05293","10","5"
"Henry St & Pendleton St","38.811456","-77.050276","4","13"
"Braddock Rd Metro","38.814577","-77.052808","9","10"
"King St Metro","38.805767","-77.06072","8","11"
"24th & N St NW","38.9066","-77.05152","11","3"
"10th & E St NW","38.895914","-77.026064","12","2"
"22nd & I St NW / Foggy Bottom","38.90088","-77.048911","6","8"
"Utah St & 11th St N ","38.883669","-77.113905","7","4"
"Barton St & 10th St N","38.884961","-77.08777","2","9"
"Arlington Blvd & N Queen St","38.889365","-77.077294","5","6"
"Lincoln Memorial","38.888251","-77.049426","3","22"
"20th St & Virginia Ave NW","38.894722","-77.045128","10","5"
"5th St & Massachusetts Ave NW","38.90093","-77.018677","6","13"
"39th & Veazey St NW","38.943837","-77.077078","10","5"
"Fessenden St & Wisconsin Ave NW","38.954812","-77.082426","1","13"
"M St & Delaware Ave NE","38.905707","-77.003041","1","22"
"Columbia Pike & S Courthouse Rd","38.863833","-77.080319","5","10"
"Walter Reed Community Center / Walter Reed Dr & 16th St S","38.857803","-77.086733","8","3"
"28th St S & S Meade St","38.846222","-77.069275","8","7"
"18th St & Wyoming Ave NW","38.918809","-77.041571","6","16"
"5th & Kennedy St NW","38.956595","-77.019815","5","10"
"Georgia Ave & Emerson St NW","38.949662","-77.027333","11","8"
"14th & Upshur St NW","38.942016","-77.032652","10","9"
"14th St & Colorado Ave NW","38.956432","-77.032947","6","13"
"S Troy St & 26th St S","38.847977","-77.075104","8","3"
"S Four Mile Run Dr & S Shirlington Rd","38.8444","-77.085931","6","5"
"S Oakland St & Columbia Pike","38.860789","-77.09586","5","6"
"S Abingdon St & 36th St S","38.835213","-77.094295","6","5"
"S Arlington Mill Dr & Campbell Ave","38.84232","-77.089555","9","6"
"S Kenmore & 24th St S","38.848454","-77.084918","5","6"
"13th St & Eastern Ave","38.987","-77.029417","10","5"
"Wisconsin Ave & O St NW","38.90849","-77.063586","6","13"
"S George Mason Dr & 13th St S","38.854691","-77.100555","7","4"
"Connecticut & Nebraska Ave NW","38.955016","-77.069956","3","20"
"17th St & Massachusetts Ave NW","38.908142","-77.038359","7","12"
"15th & Euclid St  NW","38.92333","-77.0352","5","10"
"8th & East Capitol St NE","38.889988","-76.995193","5","6"
"New Jersey Ave & R St NW","38.912659","-77.017669","3","12"
"15th & East Capitol St NE","38.889908","-76.983326","8","3"
"8th & F St NE","38.897274","-76.994749","6","9"
"18th St & Rhode Island Ave NE","38.927095","-76.978924","8","7"
"15th & F St NE","38.897195","-76.983575","6","12"
"12th & Irving St NE","38.928644","-76.990955","6","9"
"34th St & Minnesota Ave SE","38.884085","-76.957461","7","4"
"Alabama & MLK Ave SE","38.843222","-76.999388","7","4"
"Pleasant St & MLK Ave SE","38.863897","-76.990037","1","10"
"Neal St & Trinidad Ave NE","38.903732","-76.987211","8","6"
"12th & U St NW","38.916787","-77.028139","13","17"
"S George Mason Dr & Four Mile Run","38.852248","-77.105022","6","4"
"S Stafford & 34th St S","38.834108","-77.087323","10","5"
"N Pershing Dr & Wayne St","38.880705","-77.08596","5","6"
"Columbia Pike & S Orme St","38.867262","-77.072315","7","4"
"3rd St & Pennsylvania Ave SE","38.887378","-77.001955","8","6"
"8th & D St NW","38.894851","-77.02324","7","7"
"3rd & Elm St NW","38.917622","-77.01597","3","12"
"Rhode Island Ave & V St NE","38.918155","-77.004746","4","15"
"Constitution Ave & 2nd St NW/DOL","38.892275","-77.013917","6","20"
"Washington & Independence Ave SW/HHS","38.88731","-77.01397","2","23"
"Independence Ave & L'Enfant Plaza SW/DOE","38.887312","-77.025762","6","8"
"Hamlin & 7th St NE","38.927497","-76.997194","6","9"
"Columbia Pike & S Walter Reed Dr","38.862478","-77.086599","7","5"
"Columbia Pike & S Dinwiddie St / Arlington Mill Community Center","38.856319","-77.11153","7","8"
"Pershing & N George Mason Dr","38.871822","-77.107906","5","6"
"Fenton St & New York Ave ","38.985404","-77.023082","3","12"
"Bethesda Ave & Arlington Rd","38.981103","-77.097426","8","10"
"Montgomery Ave & Waverly St ","38.983838","-77.09221","7","4"
"Fallsgrove Blvd & Fallsgrove Dr","39.096312","-77.192672","10","9"
"Traville Gateway Dr & Gudelsky Dr","39.093783","-77.202501","9","10"
"Norfolk Ave & Fairmont St","38.988562","-77.096539","7","4"
"E Montgomery Ave & Maryland Ave","39.084125","-77.151291","7","8"
"Cordell & Norfolk Ave","38.98954","-77.098029","4","7"
"Frederick Ave & Horners Ln","39.094772","-77.145213","4","7"
"Philadelphia & Maple Ave","38.98128","-77.011336","8","7"
"Maple & Ritchie Ave","38.983627","-77.006311","11","8"
