Title,Date,Catalog_No,Instrument1,Instrument2,Instrument3,Genre,Key
Piano Concerto #1 Op. 15 ii,1796,Op15,Piano,Orchestra,NA,Concerto,Ab major
Piano Concerto #1 Op. 15 iii,1796,Op15,Piano,Orchestra,NA,Concerto,C major
Piano Concerto #2 Op. 19 i,1795,Op19,Piano,Orchestra,NA,Concerto,Bb major
Piano Concerto #2 Op. 19 ii,1795,Op19,Piano,Orchestra,NA,Concerto,Eb major
Piano Concerto #2 Op. 19 iii,1795,Op19,Piano,Orchestra,NA,Concerto,Bb major
Piano Concerto #3 Op. 37 i,1803,Op37,Piano,Orchestra,NA,Concerto,C minor
Piano Concerto #3 Op. 37 ii,1803,Op37,Piano,Orchestra,NA,Concerto,E major
Piano Concerto #3 Op. 37 iii,1803,Op37,Piano,Orchestra,NA,Concerto,C minor
Piano Concerto #4 Op. 58 i,1805,Op58,Piano,Orchestra,NA,Concerto,G major
Piano Concerto #4 Op. 58 ii,1805,Op58,Piano,Orchestra,NA,Concerto,E minor
Piano Concerto #4 Op. 58 iii,1805,Op58,Piano,Orchestra,NA,Concerto,G major
Piano Concerto #5 Op. 73 i,1809,Op73,Piano,Orchestra,NA,Concerto,Eb major
Piano Concerto #5 Op. 73 ii,1809,Op73,Piano,Orchestra,NA,Concerto,B major
Piano Concerto #5 Op. 73 iii,1809,Op73,Piano,Orchestra,NA,Concerto,Eb major
Piano Concerto #6 Op. 61a i,1806,Op61a,Piano,Orchestra,NA,TranscribedConcerto,D major
Piano Concerto #6 Op. 61a ii,1806,Op61a,Piano,Orchestra,NA,TranscribedConcerto,G major
Piano Concerto #6 Op. 61a iii,1806,Op61a,Piano,Orchestra,NA,TranscribedConcerto,D major
Piano Sonata Four Hands Op. 6 ii,1797,Op6,Piano,Piano,NA,AccompaniedSonata,D major
Polonaise in C Op. 89,1814,Op89,Piano,NA,NA,SoloDanceOneMovement,C major
Prelude WoO55,1803,WoO55,Piano,NA,NA,Prelude,F minor
Preludes through All Keys Op. 39 No. 1,1789,Op39no1,Piano,NA,NA,Prelude,C major
Prometheus Overture Op. 43,1801,Op43,Orchestra,NA,NA,Overture,C major
Romance #1 for Violin and Orchestra Op 40 G major,1802,Op40,Violin,Orchestra,NA,Concerto,G major
Romance #2 for Violin and Orchestra Op 50 F major,1798,Op50,Violin,Orchestra,NA,Concerto,F major
Rondo a capriccio Op. 129,1795,Op129,Piano,NA,NA,Rondo,G major
Rondo Op. 51 No. 2,1797,Op51no2,Piano,NA,NA,Rondo,G major
Rondo WoO49,1783,WoO49,Piano,NA,NA,Rondo,A major
Serenade Op. 25 i,1801,Op25,Flute,Violin,Viola,Trio,D major
